Authors,Title,Year,"Status (published, preprint, accepted, to appear, in preparation)",Journal,Volume,Number,Pages,ArXiv,DOI,Compile,Short CV
"I Adeboye, H Bray, and D Constantine",Entropy rigidity and Hilbert volume,2019,published,Discrete Contin. Dyn. Syst. Ser. A,39,4,1731--1744,https://arxiv.org/abs/1708.03983,10.3934\/dcds.2019075,Y,
H Bray,Ergodicity of Bowen-Margulis measure for the Benoist 3-manifolds,2020,published,Journal of Modern Dynamics,16,0,305--329,https://arxiv.org/abs/1705.08519,,Y,
H Bray,Geodesic flow of nonstrictly convex Hilbert geometries,2020,published,Annales de l'Institute Fourier,70,4,1563--1593,https://arxiv.org/abs/1710.06938,,Y,
H Bray and D Constantine,Entropy rigidity for finite volume strictly convex projective manifolds,2021,published,Geometrie Dedicata,214,,543--557,https://arxiv.org/abs/2006.13619,,Y,
"H Bray, R Canary, and L-Y Kao",Pressure metrics for deformation spaces of quasifuchsian groups with parabolics,2023,published,Algebraic and Geometric Topology,23,8,3615--3653,https://arxiv.org/abs/2006.06184,10.2140/agt.2023.23.3615,Y,Y
"H Bray, D Davis, K Lindsey, and C Wu",The Shape of Thurston's Master Teapot,2021,published,Advances in Mathematics,377,107481,,https://arxiv.org/abs/1902.10805,10.1016/j.aim.2023.109352,Y,
"H Bray, R Canary, L-Y Kao, and G Martone","Counting, equidistribution and entropy gaps at infinity with applications to cusped Hitchin representations",2022,published, J. Reine Angew. Math. (Crelle's Journal),791,,1--51,https://arxiv.org/abs/2102.08552,10.1515/crelle-2022-0035,Y,Y
H Bray and G Tiozzo,Random walks on geometrically finite Hilbert geometries,2024,in preparation,,,,,,,N,
"H Bray, R Canary, L-Y Kao, and G Martone",Pressure metrics for cusped Hitchin components,2023,published,Advances in Mathematics,435,109352,,https://arxiv.org/abs/2111.07493,,Y,Y
H Bray and G Tiozzo,A global shadow lemma and logarithm law for geometrically finite Hilbert geometries,2025,published,Journal of Modern Dynamics,21,,443--496,https://arxiv.org/abs/2111.04618,10.3934/jmd.2025008 ,Y,Y
H Bray and A Zimmer,On the almost sure spiraling of geodesic in CAT(0) spaces,2025,preprint,,,,,https://arxiv.org/abs/2509.10944,,Y,
"T Aougab, H Bray, S Dowdall, H Hoganson, S Maloni, and B Whitfield","Constructing reducibly
geometrically finite subgroups of the mapping class group",2025,accepted,"Groups, Geometry, and Dynamics",,,,arxiv.org/submit/6149372,,Y,Y
"T Aougab, H Bray, S Dowdall, H Hoganson, S Maloni, and B Whitfield",Reducibly geometrically finite subgroups and mapping tori,2025,in preparation,,,,,,,N,
"H Bray, C Wu",Logarithm laws for geometrically finite subgroups of mapping class groups,2025,in preparation,,,,,,,N,