Journal,"Service (quick opinion, full report)",Request Day,Request Month,Request Year,Request Semester,Submission Day,Submission Month,Submission Year,Submission Semester,,
Journal of Differential Geometry,full report,27,June,2022,Summer,22,August,2022,Summer,,
Journal of Modern Dynamics,full report,23,November,2022,Fall,25,January,2023,Winter,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,